,selection_frequency
cg04669965,0.01
cg03384440,0.01
cg18375860,0.01
cg13599411,0.01
cg13562462,0.01
cg16421612,0.01
cg12243375,0.01
cg04194329,0.01
cg03445663,0.01
cg01727145,0.01
cg06456071,0.01
cg11271505,0.01
cg18865445,0.01
cg18557684,0.01
cg21403089,0.01
cg27370997,0.01
cg00331643,0.01
cg24022375,0.01
cg07452098,0.01
cg16292778,0.01
cg07477109,0.01
cg20741429,0.01
cg16048112,0.01
cg13491192,0.01
cg05301845,0.01
cg12704673,0.01
cg05846707,0.01
cg18526167,0.01
cg07248162,0.01
cg16096942,0.01
cg05262295,0.01
cg04937402,0.01
cg07519805,0.01
cg11932547,0.01
cg02412072,0.01
cg14661161,0.01
cg14737332,0.01
cg11730719,0.01
cg15649852,0.01
cg05780753,0.01
cg13297703,0.01
cg13105766,0.01
cg01919254,0.01
cg14823535,0.01
cg16012388,0.01
cg10591825,0.01
cg05077417,0.01
cg11401682,0.01
cg02371850,0.01
cg01033299,0.01
cg09537107,0.01
cg02802062,0.01
cg15545772,0.01
cg26426447,0.01
cg27087059,0.01
cg06651376,0.01
cg23440331,0.01
cg20882848,0.01
cg03740159,0.01
cg11734773,0.01
cg20038789,0.01
cg13408086,0.01
cg16828937,0.01
cg26707398,0.01
cg20956634,0.01
cg17735983,0.01
cg03950246,0.01
cg09509950,0.01
cg20429981,0.01
cg08590873,0.01
cg20066188,0.01
cg17884327,0.01
cg19683494,0.01
cg17884145,0.01
cg27127091,0.01
cg04552451,0.01
cg07360518,0.01
cg16720687,0.01
cg20506346,0.01
cg00481239,0.01
cg05065466,0.01
cg14492208,0.01
cg20705566,0.01
cg19388972,0.01
cg06488349,0.01
cg06610036,0.01
cg21039495,0.01
cg09999650,0.01
cg02045894,0.01
cg13609017,0.01
cg26554646,0.01
cg16731076,0.01
cg06973615,0.01
cg05741611,0.01
cg26467206,0.01
cg25641240,0.01
cg14418942,0.01
cg06575611,0.01
cg12932008,0.01
cg03980541,0.01
cg18792022,0.01
cg12664940,0.01
cg03242511,0.01
cg04476152,0.01
cg23806715,0.01
cg00997682,0.01
cg25633114,0.01
cg14332600,0.01
cg03322979,0.01
cg03995631,0.01
cg27117695,0.01
cg14770721,0.01
cg04780880,0.01
cg06746318,0.01
cg24588941,0.01
cg21848700,0.01
cg19760965,0.01
cg22204640,0.01
cg21229536,0.01
cg05633391,0.01
cg06313676,0.01
cg00499859,0.01
cg11322464,0.01
cg08484934,0.01
cg07774293,0.01
cg09964361,0.01
cg04808059,0.01
cg09851679,0.01
cg16375198,0.01
cg21904978,0.01
cg03090171,0.01
cg23639433,0.01
cg04774033,0.01
cg16101008,0.01
cg11867368,0.01
cg14044916,0.01
cg24861413,0.01
cg06932756,0.01
cg08125218,0.01
cg25808892,0.01
cg17073432,0.01
cg22991836,0.01
cg04806876,0.01
cg08467103,0.01
cg14603098,0.01
cg13636881,0.01
cg22576711,0.01
cg21792155,0.01
cg19768312,0.01
cg20469284,0.01
cg25999043,0.01
cg17762331,0.01
cg19622360,0.01
cg26520930,0.01
cg21545862,0.01
cg16361266,0.01
cg00629244,0.01
cg12368188,0.01
cg03962458,0.01
cg18135087,0.01
cg09491948,0.01
cg09884451,0.01
cg23098127,0.01
cg11880010,0.01
cg02648692,0.01
cg17342302,0.01
cg04314107,0.01
cg08857436,0.01
cg05791482,0.01
cg13150467,0.01
cg07295775,0.01
cg00673404,0.01
cg00295382,0.01
cg10208301,0.01
cg06378672,0.01
cg23697136,0.01
cg02469161,0.01
cg10089294,0.01
cg17612515,0.01
cg23166357,0.01
cg13666822,0.01
cg04230117,0.01
cg08508721,0.01
cg08323075,0.01
cg09644238,0.01
cg05735467,0.01
cg08595182,0.01
cg01192262,0.01
cg19823793,0.01
cg26660115,0.01
cg24341059,0.01
cg06921501,0.01
cg15297178,0.01
cg27405732,0.01
cg09898122,0.01
cg15558448,0.01
cg13263778,0.01
cg07902749,0.01
cg01977110,0.01
cg18270617,0.01
cg13088427,0.01
cg05930207,0.01
cg04559647,0.01
cg11945733,0.01
cg11153092,0.01
cg16434720,0.01
cg16674926,0.01
cg22198179,0.01
cg03529194,0.01
cg12410692,0.01
cg02444300,0.01
cg17342864,0.01
cg09326547,0.01
cg20303490,0.01
cg05326358,0.01
cg09391279,0.01
cg24465469,0.01
cg15727564,0.01
cg13481379,0.01
cg07433663,0.01
cg26040261,0.01
cg23680480,0.01
cg09176893,0.01
cg22475440,0.01
cg11855325,0.01
cg05908051,0.01
cg24109273,0.01
cg12295186,0.01
cg07252137,0.01
cg08675176,0.01
cg25656757,0.01
cg24790501,0.01
cg13868347,0.01
cg10937652,0.01
cg02369450,0.01
cg16818251,0.01
cg23830281,0.01
cg07517487,0.01
cg20671117,0.01
cg19965221,0.01
cg18601167,0.01
cg15881997,0.01
cg11805338,0.01
cg21215209,0.01
cg16505498,0.01
cg21994086,0.01
cg03791425,0.01
cg21167628,0.01
cg22900387,0.01
cg17527969,0.01
cg18340614,0.01
cg18697982,0.01
cg21735487,0.01
cg04122068,0.01
cg02555883,0.01
cg15580304,0.01
cg05402634,0.01
cg01017241,0.01
cg17516384,0.01
cg01621268,0.01
cg10343901,0.01
cg04725566,0.01
cg06218622,0.01
cg25697556,0.01
cg11259289,0.01
cg05021494,0.01
cg20518155,0.01
cg23433828,0.01
cg11166319,0.01
cg19055060,0.01
cg09873429,0.01
cg11683232,0.01
cg02911909,0.01
cg00381131,0.01
cg26672159,0.01
cg17604209,0.01
cg24171114,0.01
cg16477869,0.01
cg27502982,0.01
cg16802990,0.01
cg05425699,0.01
cg19702761,0.01
cg05634149,0.01
cg12709527,0.01
cg21470876,0.01
cg02768790,0.01
cg09999490,0.01
cg23877043,0.01
cg03339618,0.01
cg21475476,0.01
cg22673269,0.01
cg06474225,0.01
cg09031059,0.01
cg14002714,0.01
cg26482199,0.01
cg21253966,0.01
cg20683482,0.01
cg15837503,0.01
cg10370540,0.01
cg27556861,0.01
cg13647055,0.01
cg13306087,0.01
cg16374347,0.01
cg04971825,0.01
cg05777510,0.01
cg11624040,0.01
cg11561443,0.01
cg22515201,0.01
cg12139708,0.01
cg21367137,0.01
cg12452738,0.01
cg06927863,0.01
cg15750941,0.01
cg04785083,0.01
cg12727462,0.01
cg13641993,0.01
cg07226201,0.01
cg07807690,0.01
cg01122123,0.01
cg19315508,0.01
cg00026853,0.01
cg13489590,0.01
cg17774347,0.01
cg05355467,0.01
cg10071130,0.01
cg14823429,0.01
cg04379409,0.01
cg20925873,0.01
cg25656521,0.01
cg21717879,0.01
cg00752263,0.01
cg15046077,0.01
cg11682319,0.01
cg23507025,0.01
cg07439507,0.01
cg05424071,0.01
cg10184889,0.01
cg13603112,0.01
cg02578058,0.01
cg23312964,0.01
cg08047369,0.01
cg08279184,0.01
cg27312944,0.01
cg25084027,0.01
cg16867584,0.01
cg26924109,0.01
cg17496877,0.01
cg01372839,0.01
cg03653399,0.01
cg17002598,0.01
cg23540248,0.01
cg19194095,0.01
cg13648509,0.01
cg11664313,0.01
cg11861406,0.01
cg05695631,0.01
cg21819129,0.01
cg11749142,0.01
cg01075796,0.01
cg10678190,0.01
cg22076972,0.01
cg09372094,0.01
cg21521454,0.01
cg04407652,0.01
cg21523358,0.01
cg08919486,0.01
cg22918634,0.01
cg03252055,0.01
cg21553596,0.01
cg02703032,0.01
cg07833554,0.01
cg25317740,0.01
cg02188411,0.01
cg20602245,0.01
cg00050152,0.01
cg25873214,0.01
cg00676602,0.01
cg07709080,0.01
cg02733650,0.01
cg20706496,0.01
cg13196697,0.01
cg03324947,0.01
cg21834061,0.01
cg02099154,0.01
cg00394026,0.01
cg07893892,0.01
cg12329832,0.01
cg07246372,0.01
cg03766946,0.01
cg23875597,0.01
cg10802135,0.01
cg15742123,0.01
cg23588049,0.01
cg20678053,0.01
cg27091703,0.01
cg10113885,0.01
cg09929238,0.01
cg17867321,0.01
cg16666244,0.01
cg16185421,0.01
cg11068617,0.01
cg18382947,0.01
cg08120462,0.01
cg02317785,0.01
cg08242217,0.01
cg08530912,0.01
cg00077017,0.01
cg14605309,0.01
cg04044227,0.01
cg07455051,0.01
cg14373167,0.01
cg27419106,0.01
cg25135957,0.01
cg00485551,0.01
cg26642655,0.01
cg09031957,0.01
cg06623333,0.01
cg20710013,0.01
cg20932838,0.01
cg16589214,0.01
cg16338783,0.01
cg25404570,0.01
cg18222195,0.01
cg01441183,0.01
cg15168376,0.01
cg02333187,0.01
cg17456522,0.01
cg06499217,0.01
cg11570752,0.01
cg07721663,0.01
cg00314029,0.01
cg27201332,0.01
cg25053252,0.01
cg27613737,0.01
cg25155098,0.01
cg15107336,0.01
cg19800916,0.01
cg19880977,0.01
cg03667969,0.01
cg16948489,0.01
cg12585966,0.01
cg21271945,0.01
cg20449313,0.01
cg03263002,0.01
cg24734581,0.01
cg10146268,0.01
cg01561259,0.01
cg21842999,0.01
cg15074266,0.01
cg09179589,0.01
cg03833597,0.01
cg05050882,0.01
cg24615926,0.01
cg05124918,0.01
cg24027596,0.01
cg25341937,0.01
cg05625951,0.01
cg27500148,0.01
cg16534579,0.01
cg21642176,0.01
cg26287612,0.01
cg16144458,0.01
cg06609390,0.01
cg27122213,0.01
cg02966047,0.01
cg12686317,0.01
cg05805038,0.01
cg01316047,0.01
cg13215869,0.01
cg19933487,0.01
cg14676407,0.01
cg12720889,0.01
cg06574501,0.01
cg08043971,0.01
cg11118328,0.01
cg02807262,0.01
cg13666471,0.01
cg12454169,0.01
cg20321153,0.01
cg12924693,0.01
cg01586670,0.01
cg11107196,0.01
cg02156862,0.01
cg01987164,0.01
cg01433443,0.01
cg12586176,0.01
cg17087479,0.01
cg10090591,0.01
cg14539861,0.01
cg12539193,0.01
cg21048050,0.01
cg06931446,0.01
cg24345902,0.01
cg07906724,0.01
cg09497409,0.01
cg05595134,0.01
cg25572477,0.01
cg07224733,0.01
cg23191941,0.01
cg07287345,0.01
cg02500917,0.01
cg22653976,0.01
cg13751683,0.01
cg08532870,0.01
cg00691026,0.01
cg12458171,0.01
cg12591881,0.01
cg07138101,0.01
cg00246303,0.01
cg08607755,0.01
cg18650878,0.01
cg01322214,0.01
cg25423755,0.01
cg18586490,0.01
cg05733340,0.01
cg03373518,0.01
cg07430960,0.01
cg11006622,0.01
cg06438625,0.01
cg23898712,0.01
cg04720277,0.01
cg14509437,0.01
cg20573562,0.01
cg21730366,0.01
cg21756355,0.01
cg26566415,0.01
cg02018815,0.01
cg10871779,0.01
cg26221516,0.01
cg25587511,0.01
cg15403346,0.01
cg01413054,0.01
cg13437726,0.01
cg05603736,0.01
cg01096398,0.01
cg21641920,0.01
cg05857203,0.01
cg18242593,0.01
cg07469402,0.01
cg18526602,0.01
cg19319448,0.01
cg01655290,0.01
cg15213731,0.01
cg15771763,0.01
cg17982504,0.01
cg26309221,0.01
cg05230816,0.01
cg21777166,0.01
cg13690761,0.01
cg09096995,0.01
cg11416095,0.01
cg13552710,0.01
cg24956250,0.01
cg01919369,0.01
cg05014727,0.01
cg12262069,0.01
cg11353790,0.01
cg03549571,0.01
cg01742263,0.01
cg27089754,0.01
cg09323434,0.01
cg12859211,0.01
cg06182770,0.01
cg18087527,0.01
cg21815667,0.01
cg25746778,0.01
cg12813797,0.01
cg24241897,0.01
cg20506071,0.01
cg19399473,0.01
cg08139098,0.01
cg16142349,0.01
cg00279363,0.01
cg25133100,0.01
cg14512089,0.01
cg02375499,0.01
cg11856929,0.01
cg04428701,0.01
cg11985321,0.01
cg22535163,0.01
cg06689259,0.01
cg13169073,0.01
cg18760835,0.01
cg00785783,0.01
cg00045902,0.01
cg01836936,0.01
cg02021984,0.01
cg10958874,0.01
cg09445988,0.01
cg07734359,0.01
cg06257110,0.01
cg03849132,0.01
cg00301601,0.01
cg24278619,0.01
cg12775201,0.01
cg04293724,0.01
cg26308512,0.01
cg20824761,0.01
cg17177054,0.01
cg23095286,0.01
cg09762043,0.01
cg19083779,0.01
cg18388552,0.01
cg25157065,0.01
cg26331164,0.01
cg13261133,0.01
cg09917325,0.01
cg08659034,0.01
cg06060754,0.01
cg09980477,0.01
cg04217778,0.01
cg18085627,0.01
cg08220377,0.01
cg15170605,0.01
cg04499601,0.01
cg02023276,0.01
cg07575234,0.01
cg11199770,0.01
cg20813493,0.01
cg02811038,0.01
cg07015028,0.01
cg24761867,0.01
cg03086300,0.01
cg15765251,0.01
cg19359368,0.01
